name,level,school,casting_time,range,components,duration,classes,source,description
Conversion,8,Transmutation,1 action,Self,"V, S, M (dirt from consecrated ground)","Concentration, up to 10 min.",Cleric,Alpha_Beta_Unlimited,"You surround yourself with a divine aura, which fills a 120-foot radius sphere around you. For the duration, any attack or spell cast within the radius which would normally deal fire damage deals radiant damage instead. Whenever a fey, fiend, or undead begins their turn within the radius or enters it for the first time on their turn, they must make a Charisma saving throw. On a failed save, they become vulnerable to radiant damage until the start of their next turn."
Copy Artifact,4,Transmutation,1 action,60 ft,"V, S, M (a block of clay at least 3 inches on each side, consumed in the casting)",1 hour,"Sorcerer, Wizard",Alpha_Beta_Unlimited,"You identify a corporeal source of magic within range, copying its form and molding the clay in your hand to take its appearance. Choose a magical item within range worth less than 5,000 gp that doesn't require attunement. The clay in your hand becomes a functional copy of that item, with all the same abilities as the item itself. At the end of the spell's duration, the clay crumbles to dust, losing all of its magical properties. If the copy is of an item with a number of charges, it has the same number of charges as the original, and you do not automatically know the number of charges in the item. If the item runs out of charges, the spell ends, and the clay crumbles as normal."
Creature Bond,2,Evocation,1 action,60 ft,"V, S, M (a length of rope with one or more knots in it)","Concentration, up to 1 min.","Sorcerer, Wizard",Alpha_Beta_Unlimited,"Choose two creatures within range. Using magical energy, you tie their life forces together. For the duration, whenever one target takes damage, the other target takes half that amount of damage. This damage is of the same type as the damage dealt to the first target."
Crusade,4,Enchantment,1 action,15 ft,"V, S","Concentration, up to 1 min.",Cleric,Alpha_Beta_Unlimited,"You shout words of holy power, instilling into your allies but a small fraction of the driving force of your faith. Choose up to three creatures within range that can hear you. For the duration, each of those creatures has advantage on the first attack roll they make on each of their turns. In addition, any attack they make against a fiend or undead deals an additional 1d6 damage of the same type as the attack.
 At Higher Levels. When you cast this spell using a spell slot of 5th level or higher, you may select an additional creature for each slot level above 4th. In addition, whenever you cast this spell using a spell slot of 8th level or higher, the additional damage increases to 1d12."
Cursed Land,6,Necromancy,1 action,60 ft,"V, S","Concentration, up to 10 minutes","Cleric, Druid, Warlock, Wizard",Alpha_Beta_Unlimited,"You choose a point within range, filling the land within 30 feet of that point with necromantic energies. Whenever a creature enters the area for the first time on their turn or begins their turn in the area, they must make a Constitution saving throw. On a failed save, they take 8d6 necrotic damage, or half as much on a successful one. As an action on your turn, you may move the center of the radius of effect up to 15 feet. Any creature which is in the radius of effect when you finish moving it must make the saving throw. The corpse of any creature which dies while in the radius of the spell's effect immediately becomes overgrown with blackened, twisted plants and fungi."
Darkpact,6,Transmutation,1 action (ritual),60 ft,"V, S, M (a lit piece of charcoal)",Instantaneous,"Bard, Wizard",Alpha_Beta_Unlimited,"Pointing at a spellcaster within range, you feel a shock of energy run through your body and out your finger, sure that your target is feeling the same. When you cast this spell, you lose knowledge of one randomly chosen spell you have prepared of 6th level or lower. At the same time, you gain knowledge of one randomly chosen spell your opponent had prepared of the same level. Your opponent loses knowledge of their spell, and gains knowledge of your spell in return."
Dark Ritual,1,Necromancy,1 action (ritual),Self,"V, S",Instantaneous,Warlock,Alpha_Beta_Unlimited,"You call upon your patron to bless you with further gifts, offering some of your very life force in return. When you finish casting this spell, your maximum hit points permanently decrease by an amount equal to 8 + your Constitution modifier. At the same time, you gain three more 1st level spell slots. After you cast this spell once, you lose knowledge of how to cast it, and must relearn the spell in order to ever cast it again."
Death Ward,1,Abjuration,1 action,Touch,"V, S",Instantaneous,"Cleric, Paladin",Alpha_Beta_Unlimited,"Choose and touch a target which has been reduced to 0 hit points within the past turn. The target gains a number of hit points equal to 1d4+1, or equal to the damage which reduced it to 0 hit points, whichever is lower.
 At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the target regains an additional 1d8+1 hit points for each level above 1st."
Deathgrip,4,Evocation,1 action,Self,"V, S, M (a few dead leaves)","Concentration, up to 1 min.","Sorcerer, Warlock, Wizard",Alpha_Beta_Unlimited,"You feel the intoxicating energy of dark magic fill your every vein. For the duration of the spell, you may expend a 2nd level spell slot as a reaction to attempt to counter any spell cast by a Druid or Ranger, or any spell from the Transmutation school. The caster of the spell you are attempting to counter must make a Wisdom saving throw. On a failed save, their spell is countered."
Deathlace,2,Transmutation,1 action,120 ft,"V, S",1 min.,Warlock,Alpha_Beta_Unlimited,"You suffuse a target with a bit of your own magical energy, altering their spellcasting powers. One target of your choice within range must make a Charisma saving throw. On a failed save, any spells cast by the target for the duration are considered to have been cast by a warlock."
